Timestamp,X,Y,Z
9.669,0.16879122,-0.15682021,9.80665
9.69,0.1436521,-0.14844051,9.791088
9.711,0.16998832,-0.16160862,9.822212
9.732,0.16639702,-0.15562311,9.801862
9.754,0.18076223,-0.16639702,9.803059
9.778,0.16519992,-0.16759412,9.809045
9.799,0.17357962,-0.1604115,9.811439
9.821,0.17238252,-0.1604115,9.811439
9.844,0.16879122,-0.1604115,9.812635
9.867,0.17118542,-0.16639702,9.799467
9.889,0.17717093,-0.16519992,9.807847
9.911,0.16998832,-0.16160862,9.805453
9.938,0.16639702,-0.15682021,9.8042555
9.96,0.16639702,-0.15682021,9.8042555
9.982,0.16879122,-0.15203181,9.799467
10.004,0.16519992,-0.1592144,9.80665
10.027,0.16519992,-0.16160862,9.811439
10.049,0.17477672,-0.16759412,9.817424
10.071,0.16400282,-0.15801731,9.818622
10.094,0.16400282,-0.1592144,9.812635
10.116,0.18315643,-0.15442601,9.807847
10.138,0.16639702,-0.16400282,9.805453
10.159,0.17717093,-0.1592144,9.809045
10.18,0.15682021,-0.16998832,9.803059
10.201,0.17357962,-0.1592144,9.805453
10.222,0.16759412,-0.15083471,9.810242
10.243,0.16759412,-0.16400282,9.81503
10.264,0.17118542,-0.1604115,9.81503
10.285,0.17717093,-0.16639702,9.794679
10.306,0.17717093,-0.16639702,9.794679
10.327,0.17238252,-0.15801731,9.803059
10.348,0.17118542,-0.16280572,9.809045
10.37,0.17597382,-0.16998832,9.810242
10.391,0.16519992,-0.17717093,9.81503
10.412,0.15682021,-0.14724341,9.78989
10.433,0.16759412,-0.1388637,9.80665
10.454,0.20350714,-0.17357962,9.794679
10.475,0.11252748,-0.1316811,9.792285
10.496,0.17836803,-0.1436521,9.7958765
10.517,0.20231004,-0.19512744,9.836577
10.539,0.12210429,-0.15801731,9.834184
10.56,0.16639702,-0.15562311,9.812635
10.58,0.17118542,-0.17118542,9.805453
10.601,0.17118542,-0.17118542,9.805453
10.622,0.17238252,-0.1592144,9.813833
10.643,0.1412579,-0.12928689,9.8042555
10.664,0.17238252,-0.17836803,9.829395
10.684,0.14724341,-0.1400608,9.809045
10.705,0.19632454,-0.18195933,9.803059
10.726,0.18794483,-0.17357962,9.840169
10.747,0.1592144,-0.15442601,9.80665
10.769,0.17118542,-0.15801731,9.807847
10.79,0.16998832,-0.16280572,9.81503
10.81,0.17238252,-0.15682021,9.800665
10.831,0.17238252,-0.16160862,9.807847
10.852,0.16519992,-0.1604115,9.809045
10.872,0.15322891,-0.15442601,9.813833
10.893,0.16879122,-0.1604115,9.809045
10.914,0.17118542,-0.16639702,9.810242
10.936,0.17238252,-0.16160862,9.801862
10.957,0.16879122,-0.16639702,9.809045
10.978,0.17836803,-0.15562311,9.818622
11.0,0.16519992,-0.17238252,9.81503
11.021,0.17357962,-0.17118542,9.80665
11.042,0.16879122,-0.15562311,9.817424
11.064,0.17238252,-0.17118542,9.81503
11.085,0.16400282,-0.14963761,9.800665
11.106,0.16759412,-0.16639702,9.8198185
11.128,0.16879122,-0.15682021,9.801862
11.149,0.17118542,-0.16160862,9.811439
11.17,0.17118542,-0.16160862,9.811439
11.192,0.17717093,-0.16160862,9.803059
11.213,0.17357962,-0.15682021,9.805453
11.235,0.16400282,-0.16998832,9.800665
11.256,0.1604115,-0.15083471,9.811439
11.277,0.1604115,-0.1592144,9.813833
11.298,0.20829555,-0.18195933,9.805453
11.319,0.20709845,-0.18794483,9.82341
11.341,0.20709845,-0.18794483,9.82341
11.362,0.19273324,-0.17477672,9.824607
11.383,0.15682021,-0.1448492,9.800665
11.404,0.17836803,-0.16160862,9.799467
11.425,0.16519992,-0.16759412,9.810242
11.446,0.17357962,-0.15562311,9.811439
11.466,0.16400282,-0.15083471,9.812635
11.487,0.1328782,-0.1388637,9.791088
11.508,0.24660277,-0.21428105,9.738416
11.529,0.19153613,-0.16280572,9.805453
11.55,0.1328782,-0.14724341,9.812635
11.57,0.17717093,-0.1592144,9.801862
11.592,0.16759412,-0.1604115,9.805453
11.612,0.17238252,-0.15801731,9.79827
11.633,0.16759412,-0.16280572,9.811439
11.654,0.1592144,-0.17118542,9.817424
11.675,0.16639702,-0.16160862,9.809045
11.696,0.1376666,-0.12569559,9.764751
11.717,0.17956513,-0.17477672,9.866506
11.738,0.142455,-0.16280572,9.818622
11.759,0.16519992,-0.1604115,9.794679
11.78,0.18674773,-0.18076223,9.825804
11.801,0.15801731,-0.16280572,9.810242
11.822,0.18914193,-0.14844051,9.809045
11.842,0.15801731,-0.17238252,9.81503
11.864,0.1604115,-0.17238252,9.805453
11.885,0.17717093,-0.15682021,9.811439
11.906,0.1352724,-0.110133275,9.799467
11.926,0.21547815,-0.18674773,9.781511
11.947,0.15801731,-0.1400608,9.752781
11.968,0.093373865,-0.12210429,9.860519
11.989,0.16639702,-0.16998832,9.8198185
12.01,0.18195933,-0.1592144,9.800665
12.031,0.17717093,-0.15562311,9.8042555
12.053,0.17238252,-0.16400282,9.821015
12.074,0.17118542,-0.1604115,9.81503
12.096,0.16400282,-0.1592144,9.801862
12.118,0.11611878,-0.14724341,9.7863
12.14,0.12090719,-0.1340753,9.785102
12.161,0.24540567,-0.19512744,9.854534
12.181,-0.108936176,0.0035913025,9.746795
12.202,0.2621651,-0.17477672,10.01734
12.223,0.44771573,-0.29807812,9.454702
12.244,0.093373865,-0.12330139,9.767146
12.265,0.22505496,-0.16759412,9.782708
12.285,0.1448492,-0.1448492,9.816227
12.306,0.18315643,-0.16639702,9.812635
12.327,0.16519992,-0.1376666,9.809045
12.348,0.17118542,-0.18195933,9.809045
12.37,0.17118542,-0.18195933,9.809045
12.391,0.17956513,-0.16400282,9.811439
12.412,0.16998832,-0.16519992,9.807847
12.434,0.17238252,-0.1592144,9.821015
12.454,0.17238252,-0.1604115,9.811439
12.475,0.16639702,-0.1604115,9.817424
12.496,0.17238252,-0.15682021,9.801862
12.519,0.16639702,-0.1592144,9.810242
12.54,0.16519992,-0.17477672,9.809045
12.56,0.17477672,-0.16519992,9.803059
12.581,0.16400282,-0.16998832,9.807847
12.602,0.16400282,-0.15801731,9.813833
12.623,0.16519992,-0.16280572,9.80665
12.644,0.17238252,-0.16519992,9.809045
12.666,0.16160862,-0.16280572,9.821015
12.686,0.17836803,-0.15203181,9.810242
12.707,0.1604115,-0.15682021,9.810242
12.728,0.16998832,-0.16280572,9.805453
12.753,0.16879122,-0.16519992,9.81503
12.774,0.16879122,-0.16519992,9.81503
12.795,0.17597382,-0.17118542,9.816227
12.816,0.19871874,-0.17836803,9.821015
12.84,0.19871874,-0.17836803,9.821015
12.861,0.17118542,-0.16160862,9.812635
12.882,0.17477672,-0.15442601,9.812635
12.903,0.17477672,-0.15442601,9.812635
12.924,0.16998832,-0.17118542,9.822212
12.945,0.18195933,-0.15442601,9.81503
12.967,0.16639702,-0.15442601,9.810242
12.987,0.16519992,-0.16400282,9.811439
13.008,0.17118542,-0.15562311,9.813833
13.029,0.16879122,-0.16400282,9.81503
13.049,0.17238252,-0.1604115,9.810242
13.07,0.16400282,-0.15801731,9.809045
13.091,0.16400282,-0.15801731,9.809045
13.112,0.17238252,-0.15442601,9.805453
13.133,0.16879122,-0.16759412,9.80665
13.154,0.16879122,-0.16759412,9.80665
13.175,0.16879122,-0.14844051,9.8198185
13.196,0.17118542,-0.15682021,9.8042555
13.217,0.16759412,-0.14963761,9.807847
13.237,0.17357962,-0.1592144,9.807847
13.258,0.16879122,-0.1592144,9.810242
13.279,0.16879122,-0.1592144,9.810242
13.3,0.17357962,-0.17238252,9.801862
13.321,0.16519992,-0.15682021,9.810242
13.342,0.16639702,-0.1592144,9.821015
13.363,0.16639702,-0.16519992,9.816227
13.384,0.16639702,-0.16519992,9.816227
13.405,0.16639702,-0.1592144,9.80665
13.426,0.16998832,-0.15801731,9.816227
13.447,0.16639702,-0.16160862,9.809045
13.468,0.16759412,-0.1592144,9.812635
13.488,0.17118542,-0.1604115,9.80665
13.509,0.16400282,-0.15682021,9.813833
13.53,0.17238252,-0.15442601,9.812635
13.551,0.16400282,-0.15562311,9.81503
13.572,0.16998832,-0.16998832,9.821015
13.593,0.16998832,-0.15442601,9.81503
13.614,0.17956513,-0.14724341,9.81503
13.635,0.17597382,-0.17357962,9.80665
